Time,Potential
15.7409,0.065259
15.7609,0.059961
15.7809,0.05505
15.8009,0.049752
15.8209,0.0451
15.8409,0.040189
15.8609,0.034762
15.8809,0.029722
15.9009,0.02507
15.9209,0.019772
15.9409,0.01499
15.9609,0.0099503
15.9809,0.0049105
16.0009,0.00025831
16.0209,-0.0047815
16.0409,-0.0095629
16.0609,-0.014732
16.0809,-0.019772
16.1009,-0.024812
16.1209,-0.029852
16.1409,-0.034891
16.1609,-0.039802
16.1809,-0.044713
16.2009,-0.049882
16.2209,-0.054663
16.2409,-0.059703
16.2609,-0.064872
16.2809,-0.069653
16.3009,-0.074693
16.3209,-0.079733
16.3409,-0.084644
16.3609,-0.089684
16.3809,-0.094336
16.4009,-0.099505
16.4209,-0.10454
16.4409,-0.10946
16.4609,-0.1145
16.4809,-0.11928
16.5009,-0.12445
16.5209,-0.12961
16.5409,-0.13465
16.5609,-0.13944
16.5809,-0.1446
16.6009,-0.14964
16.6209,-0.15481
16.6409,-0.15972
16.6609,-0.16464
16.6809,-0.1698
16.7009,-0.17471
16.7209,-0.17975
16.7409,-0.18454
16.7609,-0.18983
16.7809,-0.19474
16.8009,-0.19953
16.8209,-0.20444
16.8409,-0.20986
16.8609,-0.21413
16.8809,-0.21956
16.9009,-0.2246
16.9209,-0.22977
16.9409,-0.23455
16.9609,-0.23972
16.9809,-0.24437
17.0009,-0.24954
17.0209,-0.25471
17.0409,-0.25962
17.0609,-0.26466
17.0809,-0.26944
17.1009,-0.27461
17.1209,-0.27952
17.1409,-0.28469
17.1609,-0.28973
17.1809,-0.29464
17.2009,-0.29968
17.2209,-0.30498
17.2409,-0.30937
17.2609,-0.31467
17.2809,-0.31971
17.3009,-0.32462
17.3209,-0.32966
17.3409,-0.33444
17.3609,-0.33948
17.3809,-0.34452
17.4009,-0.34943
17.4209,-0.35447
17.4409,-0.35938
17.4609,-0.36442
17.4809,-0.36959
17.5009,-0.37463
17.5209,-0.37954
17.5409,-0.38458
17.5609,-0.38975
17.5809,-0.39466
17.6009,-0.39983
17.6209,-0.40448
17.6409,-0.40939
17.6609,-0.41482
17.6809,-0.41986
17.7009,-0.42464
17.7209,-0.4302
17.7409,-0.43459
17.7609,-0.43976
17.7809,-0.44467
17.8009,-0.44958
17.8209,-0.45436
17.8409,-0.4594
17.8609,-0.4647
17.8809,-0.46948
17.9009,-0.47465
17.9209,-0.47956
17.9409,-0.48447
17.9609,-0.48925
17.9809,-0.49468
18.0009,-0.49985
18.0209,-0.50463
18.0409,-0.50967
18.0609,-0.51471
18.0809,-0.51962
18.1009,-0.52453
18.1209,-0.52944
18.1409,-0.53461
18.1609,-0.53952
18.1809,-0.54469
18.2009,-0.54947
18.2209,-0.55464
18.2409,-0.55942
18.2609,-0.56446
18.2809,-0.5695
18.3009,-0.57467
18.3209,-0.57971
18.3409,-0.58449
18.3609,-0.58953
18.3809,-0.59444
18.4009,-0.59974
18.4209,-0.60452
18.4409,-0.60969
18.4609,-0.61486
18.4809,-0.61977
18.5009,-0.62481
18.5209,-0.62985
18.5409,-0.6345
18.5609,-0.63954
18.5809,-0.64445
18.6009,-0.64975
18.6209,-0.65453
18.6409,-0.65996
18.6609,-0.66461
18.6809,-0.66965
18.7009,-0.67469
18.7209,-0.6796
18.7409,-0.68464
18.7609,-0.68968
18.7809,-0.69498
18.8009,-0.6995
18.8209,-0.70454
18.8409,-0.70946
18.8609,-0.71462
18.8809,-0.71954
18.9009,-0.72419
18.9209,-0.72936
18.9409,-0.73427
18.9609,-0.73957
18.9809,-0.74461
19.0009,-0.74939
19.0209,-0.75468
19.0409,-0.75934
19.0609,-0.76438
19.0809,-0.76955
19.1009,-0.77433
19.1209,-0.77963
19.1409,-0.78467
19.1609,-0.78945
19.1809,-0.79436
19.2009,-0.79966
19.2209,-0.8047
19.2409,-0.80961
19.2609,-0.81465
19.2809,-0.81943
19.3009,-0.82447
19.3209,-0.82951
19.3409,-0.83429
19.3609,-0.83946
19.3809,-0.84476
19.4009,-0.8498
19.4209,-0.85445
19.4409,-0.85949
19.4609,-0.86479
19.4809,-0.86944
19.5009,-0.87448
19.5209,-0.87952
19.5409,-0.88443
19.5609,-0.88947
19.5809,-0.89438
19.6009,-0.89955
19.6209,-0.90446
19.6409,-0.90989
19.6609,-0.9148
19.6809,-0.91958
19.7009,-0.92475
19.7209,-0.92966
19.7409,-0.93457
19.7609,-0.93974
19.7809,-0.94478
19.8009,-0.94995
19.8209,-0.95512
19.8409,-0.95964
19.8609,-0.96494
19.8809,-0.96972
19.9009,-0.97463
19.9209,-0.97993
19.9409,-0.98458
19.9609,-0.99001
19.9809,-0.99453
20.0009,-0.9997
20.0209,-1.0046
20.0409,-1.0098
20.0609,-1.0149
20.0809,-1.0199
20.1009,-1.0249
20.1209,-1.0298
20.1409,-1.0348
20.1609,-1.0396
20.1809,-1.0449
20.2009,-1.0493
20.2209,-1.0544
20.2409,-1.0595
20.2609,-1.0642
20.2809,-1.0696
20.3009,-1.0745
20.3209,-1.0797
20.3409,-1.0846
20.3609,-1.0894
20.3809,-1.0944
20.4009,-1.0995
20.4209,-1.1045
20.4409,-1.1098
20.4609,-1.1147
20.4809,-1.1198
20.5009,-1.1244
20.5209,-1.1296
20.5409,-1.1346
20.5609,-1.1395
20.5809,-1.1447
20.6009,-1.1496
20.6209,-1.1546
20.6409,-1.1596
20.6609,-1.1645
20.6809,-1.1698
20.7009,-1.1744
20.7209,-1.1795
20.7409,-1.1848
20.7609,-1.1898
20.7809,-1.1947
20.8009,-1.1994
20.8209,-1.2047
20.8409,-1.2096
20.8609,-1.2147
20.8809,-1.2194
20.9009,-1.2246
20.9209,-1.2296
20.9409,-1.2345
20.9609,-1.2398
20.9809,-1.2446
21.0009,-1.2495
21.0209,-1.2547
21.0409,-1.2596
21.0609,-1.2647
21.0809,-1.2697
21.1009,-1.2746
21.1209,-1.2796
21.1409,-1.2848
21.1609,-1.2896
21.1809,-1.2946
21.2009,-1.2999
21.2209,-1.3049
21.2409,-1.3095
21.2609,-1.315
21.2809,-1.3197
21.3009,-1.3247
21.3209,-1.3296
21.3409,-1.3348
21.3609,-1.3397
21.3809,-1.3447
21.4009,-1.3496
21.4209,-1.3547
21.4409,-1.3596
21.4609,-1.3648
21.4809,-1.3697
21.5009,-1.3747
21.5209,-1.3796
21.5409,-1.3847
21.5609,-1.3896
21.5809,-1.3944
21.6009,-1.3995
21.6209,-1.4044
21.6409,-1.4095
21.6609,-1.414
21.6809,-1.4197
21.7009,-1.4245
21.7209,-1.4295
21.7409,-1.4345
21.7609,-1.4398
21.7809,-1.4445
21.8009,-1.4495
21.8209,-1.4546
21.8409,-1.4595
21.8609,-1.4645
21.8809,-1.4694
21.9009,-1.4743
21.9209,-1.4795
21.9409,-1.4849
21.9609,-1.4897
21.9809,-1.4946
22.0009,-1.4995
22.0209,-1.5046
22.0409,-1.5098
22.0609,-1.5147
22.0809,-1.5198
22.1009,-1.5247
22.1209,-1.5298
22.1409,-1.5347
22.1609,-1.5397
22.1809,-1.5448
22.2009,-1.5497
22.2209,-1.5547
22.2409,-1.5595
22.2609,-1.5648
22.2809,-1.5695
22.3009,-1.5745
22.3209,-1.5797
22.3409,-1.5846
22.3609,-1.5895
22.3809,-1.5947
22.4009,-1.5996
22.4209,-1.6046
22.4409,-1.6094
22.4609,-1.6144
22.4809,-1.6193
22.5009,-1.6246
22.5209,-1.6293
22.5409,-1.6345
22.5609,-1.6395
22.5809,-1.6443
22.6009,-1.6493
22.6209,-1.6544
22.6409,-1.6591
22.6609,-1.6643
22.6809,-1.6694
22.7009,-1.6743
22.7209,-1.6792
22.7409,-1.6841
22.7609,-1.689
22.7809,-1.6943
22.8009,-1.6993
22.8209,-1.7041
22.8409,-1.709
22.8609,-1.7141
22.8809,-1.719
22.9009,-1.7244
22.9209,-1.7293
22.9409,-1.7345
22.9609,-1.7394
22.9809,-1.7443
23.0009,-1.7499
23.0209,-1.7546
23.0409,-1.7597
23.0609,-1.7645
23.0809,-1.7696
23.1009,-1.7744
23.1209,-1.7792
23.1409,-1.7845
23.1609,-1.7895
23.1809,-1.7943
23.2009,-1.7994
23.2209,-1.8047
23.2409,-1.8096
23.2609,-1.8142
23.2809,-1.8193
23.3009,-1.8244
23.3209,-1.8297
23.3409,-1.8348
23.3609,-1.8397
23.3809,-1.8443
23.4009,-1.8494
23.4209,-1.8545
23.4409,-1.8594
23.4609,-1.8647
23.4809,-1.8694
23.5009,-1.8746
23.5209,-1.8796
23.5409,-1.8848
23.5609,-1.8896
23.5809,-1.8946
23.6009,-1.8998
23.6209,-1.9047
23.6409,-1.9095
23.6609,-1.9146
23.6809,-1.9197
23.7009,-1.9247
23.7209,-1.9295
23.7409,-1.9347
23.7609,-1.9396
23.7809,-1.9446
23.8009,-1.9496
23.8209,-1.9546
23.8409,-1.9596
23.8609,-1.9645
23.8809,-1.9695
23.9009,-1.9747
23.9209,-1.9795
23.9409,-1.9845
23.9609,-1.9892
23.9809,-1.9944
24.0009,-1.9993
24.0209,-1.9937
24.0409,-1.9889
24.0609,-1.984
24.0809,-1.9791
24.1009,-1.9739
24.1209,-1.9688
24.1409,-1.9642
24.1609,-1.9593
24.1809,-1.9538
24.2009,-1.9487
24.2209,-1.944
24.2409,-1.939
24.2609,-1.9341
24.2809,-1.9292
24.3009,-1.9241
24.3209,-1.9194
24.3409,-1.9142
24.3609,-1.9092
24.3809,-1.9042
24.4009,-1.8992
24.4209,-1.8943
24.4409,-1.889
24.4609,-1.8841
24.4809,-1.8791
24.5009,-1.8742
24.5209,-1.8691
24.5409,-1.8641
24.5609,-1.8587
24.5809,-1.854
24.6009,-1.8491
24.6209,-1.8438
24.6409,-1.839
24.6609,-1.834
24.6809,-1.8291
24.7009,-1.824
24.7209,-1.8189
24.7409,-1.814
24.7609,-1.8089
24.7809,-1.8036
24.8009,-1.799
24.8209,-1.7942
24.8409,-1.7889
24.8609,-1.784
24.8809,-1.7787
24.9009,-1.7742
24.9209,-1.7692
24.9409,-1.7639
24.9609,-1.7592
24.9809,-1.7541
25.0009,-1.749
25.0209,-1.7439
25.0409,-1.739
25.0609,-1.7336
25.0809,-1.7289
25.1009,-1.7236
25.1209,-1.7188
25.1409,-1.7137
25.1609,-1.7086
25.1809,-1.7035
25.2009,-1.6989
25.2209,-1.6939
25.2409,-1.6887
25.2609,-1.6837
25.2809,-1.6787
25.3009,-1.6737
25.3209,-1.6687
25.3409,-1.6638
25.3609,-1.6589
25.3809,-1.654
25.4009,-1.6488
25.4209,-1.6439
25.4409,-1.6389
25.4609,-1.6339
25.4809,-1.6289
25.5009,-1.624
25.5209,-1.619
25.5409,-1.6139
25.5609,-1.6091
25.5809,-1.6041
25.6009,-1.5991
25.6209,-1.594
25.6409,-1.5892
25.6609,-1.5841
25.6809,-1.5792
25.7009,-1.5737
25.7209,-1.5691
25.7409,-1.564
25.7609,-1.5591
25.7809,-1.5541
25.8009,-1.5492
25.8209,-1.5441
25.8409,-1.5391
25.8609,-1.5343
25.8809,-1.529
25.9009,-1.5241
25.9209,-1.5192
25.9409,-1.5142
25.9609,-1.5092
25.9809,-1.5042
